time_s,Upper airway pressure,compact_skna_1,compact_skna_2,compact_skna_3,skna_med
0.0,-0.011900421892811361,0.000700012935049269,0.0007459138708720556,0.0006570885355588718,0.000700012935049269
0.01,-0.13961271491226943,0.0006917350241478105,0.0007168634885469224,0.0006265969235290735,0.0006917350241478105
0.02,0.04683254369506957,0.0007115390301237685,0.0007575684841231233,0.0007023453005207588,0.0007115390301237685
0.03,-0.23557977689400636,0.0007307516940579491,0.0007617538813836837,0.0007122210582013815,0.0007307516940579491
0.04,0.07488733647457768,0.0006500975458215305,0.000674833417520432,0.0006661757040304334,0.0006661757040304334
0.05,-0.003101973081316304,0.000669658746969195,0.0006871327842934132,0.000620459367328787,0.000669658746969195
0.06,-0.44787491310728245,0.0007065662287046402,0.0007691728245304805,0.0007171572764456723,0.0007171572764456723
0.07,0.03861703863368541,0.0006860489815069851,0.0007021348329597009,0.0006603222661040623,0.0006860489815069851
0.08,0.3396500673376993,0.0006797065879964002,0.0007435764641457626,0.0006755836991466097,0.0006797065879964002
0.09,-0.019658527284664044,0.0006950059128952494,0.0007208060855690659,0.0006512784562897949,0.0006950059128952494
0.1,0.03598018581134082,0.000753492041030583,0.0007673581810154577,0.0007016448375929008,0.000753492041030583
0.11,-0.1429174696663499,0.0007524152841227687,0.00077919970748706,0.0007096837482856645,0.0007524152841227687
0.12,0.4746746543988518,0.0006950776005860112,0.0007399238776717075,0.0007006987258176472,0.0007006987258176472
0.13,0.4488386231526579,0.0007186504305289253,0.0007888183797115952,0.000696952576893099,0.0007186504305289253
0.14,0.3468601403481155,0.0007056575802680337,0.0007982902952228991,0.0006890503646945306,0.0007056575802680337
0.15,0.4198365629394051,0.0006795796521474581,0.0007206651747527343,0.0006344796896577047,0.0006795796521474581
0.16,-0.1762523972850423,0.0007127812399214116,0.0007159094955273003,0.0007007664638539583,0.0007127812399214116
0.17,-0.25385845018199577,0.0006628513208025981,0.0007188119465490572,0.0006597003652452523,0.0006628513208025981
0.18,0.567409479115593,0.0007003910156362466,0.0007658327785711312,0.000680069911690164,0.0007003910156362466
0.19,-0.03218282583654158,0.0007049942724504032,0.0007543813667102842,0.0006473332543336676,0.0007049942724504032
0.2,-0.16567965154121567,0.0006374525165328025,0.0007031784917335256,0.0006766581767942253,0.0006766581767942253
0.21,0.09273323172820819,0.0006870638594806794,0.0007366981686890023,0.0006913706743253386,0.0006913706743253386
0.22,-0.22358846675003574,0.0007197339547785479,0.0007725152688739982,0.0007437515219746982,0.0007437515219746982
0.23,0.05288464438015838,0.0007166318315378244,0.0007607991123106858,0.0006447335366835361,0.0007166318315378244
0.24,-0.16521671513155137,0.0007148773550622965,0.0007274120200378339,0.000689672154745875,0.0007148773550622965
0.25,0.18112238941012593,0.0007174824458379341,0.0007574517263667725,0.0006886144638654042,0.0007174824458379341
0.26,-0.1746307843809933,0.0007143496626994644,0.000733606285251835,0.0007236139837060102,0.0007236139837060102
0.27,-0.23703534381687114,0.0006962554558538153,0.0007600449932551131,0.0006989581068561598,0.0006989581068561598
0.28,-0.18795946460700305,0.0007034808987749974,0.0007417955604430904,0.0006817272531311066,0.0007034808987749974
0.29,0.06723961835666212,0.0007240453662062771,0.0007522382244085029,0.0007081897115901736,0.0007240453662062771
0.3,-0.1235093756679821,0.000732285362652197,0.0008620273105608919,0.000672167196073893,0.000732285362652197
0.31,0.17588097663507146,0.0007235643894811804,0.0007213979373238831,0.0006477355252190402,0.0007213979373238831
0.32,-0.006417559781009609,0.0006901538386481705,0.0007304195821160089,0.0006482621227951324,0.0006901538386481705
0.33,0.1228140274258614,0.0006978396371634308,0.0007072918716770402,0.0006458112377957794,0.0006978396371634308
0.34,-0.1888512923825891,0.0006927834111067835,0.0007622001173873517,0.0006608932654544154,0.0006927834111067835
0.35000000000000003,-0.032814994822335734,0.0007212741534003164,0.0007792191226251601,0.0006954439507156476,0.0007212741534003164
0.36,-0.005823232183670238,0.0006728336752725027,0.0007348726070292915,0.0006661168749902435,0.0006728336752725027
0.37,-0.16188920775688193,0.0007076282622011019,0.0007621289761201582,0.0006556161306135748,0.0007076282622011019
0.38,-0.09953410956667949,0.0006870203138957063,0.0007544016206978476,0.0006688359643999796,0.0006870203138957063
